id,catalogue_page_title,catalogue_name,permutation_summary,ordering_code,product_type,product_description,stauff_groups,din_groups,thread_code,thread,size_d1,modifier,material_code,material_description,notes,imported_at
75,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-10S-W2,DPAL,Cover Plate for Single Clamps,10S,8,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
76,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-10S-W3,DPAL,Cover Plate for Single Clamps,10S,8,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
77,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-10S-W4,DPAL,Cover Plate for Single Clamps,10S,8,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
78,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-10S-W5,DPAL,Cover Plate for Single Clamps,10S,8,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
79,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-10S-W1,DPAS,Cover Plate for Double Clamps,10S,8,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
80,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-10S-W2,DPAS,Cover Plate for Double Clamps,10S,8,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
81,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-10S-W3,DPAS,Cover Plate for Double Clamps,10S,8,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
82,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-10S-W4,DPAS,Cover Plate for Double Clamps,10S,8,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
83,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-10S-W5,DPAS,Cover Plate for Double Clamps,10S,8,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
84,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-11S-W1,DPAL,Cover Plate for Single Clamps,11S,9,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
85,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-11S-W2,DPAL,Cover Plate for Single Clamps,11S,9,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
